Date,sector,sie,seasonal_ref,apac_resid
2019-08-03,East_Antarctica,2.829015735,2.8763899825990684,-0.047374247599068386
2019-08-04,East_Antarctica,2.801433819,2.8862346486177914,-0.08480082961779134
2019-08-05,East_Antarctica,2.801016904,2.895618028919062,-0.09460112491906214
2019-08-06,East_Antarctica,2.801848,2.9045918854814614,-0.1027438854814613
2019-08-07,East_Antarctica,2.80907968,2.9132079802835706,-0.10412830028357067
2019-08-08,East_Antarctica,2.81437314,2.921518075303969,-0.10714493530396929
2019-08-09,East_Antarctica,2.791722688,2.9295739325212375,-0.13785124452123743
2019-08-10,East_Antarctica,2.833695417,2.9374273139139575,-0.10373189691395757
2019-08-11,East_Antarctica,2.848644975,2.945129981460709,-0.09648500646070879
2019-08-12,East_Antarctica,2.851837547,2.952733697140072,-0.10089615014007203
2019-08-13,East_Antarctica,2.848522833,2.9602902229306287,-0.11176738993062862
2019-08-14,East_Antarctica,2.864951237,2.9678513208109565,-0.10290008381095639
2019-08-15,East_Antarctica,2.907805797,2.975468752759638,-0.06766295575963799
2019-08-16,East_Antarctica,2.90023137,2.983192748459528,-0.08296137845952778
2019-08-17,East_Antarctica,2.844043333,2.991027994165687,-0.14698466116568687
2019-08-18,East_Antarctica,2.853256996,2.998927048088191,-0.14567005208819106
2019-08-19,East_Antarctica,2.885801824,3.006839611685515,-0.12103778768551487
2019-08-20,East_Antarctica,2.903418199,3.0147153864161242,-0.11129718741612438
2019-08-21,East_Antarctica,2.96121663,3.0225040737384896,-0.0612874437384896
2019-08-22,East_Antarctica,2.991169297,3.0301553751110806,-0.03898607811108068
2019-08-23,East_Antarctica,3.007886295,3.037618991992368,-0.029732696992367913
2019-08-24,East_Antarctica,3.045609863,3.0448446258408186,7.65237159181531e-4
2019-08-25,East_Antarctica,3.103208182,3.051781978114903,0.051426203885097
2019-08-26,East_Antarctica,3.1505404,3.058380750273091,0.09215964972690927
2019-08-27,East_Antarctica,3.199720094,3.0645906437738515,0.13512945022614842
2019-08-28,East_Antarctica,3.2505374,3.070361360075652,0.18017603992434772
2019-08-29,East_Antarctica,3.298055624,3.075651592261935,0.22240403173806467
2019-08-30,East_Antarctica,3.322591866,3.0804746817792377,0.24211718422076212
2019-08-31,East_Antarctica,3.355538838,3.084864503205013,0.27067433479498737
2019-09-01,East_Antarctica,3.390192549,3.08885496794641,0.3013375810535899
2019-09-02,East_Antarctica,3.400733627,3.0924799874105773,0.30825363958942287
2019-09-03,East_Antarctica,3.370917985,3.0957734730046655,0.27514451199533463
2019-09-04,East_Antarctica,3.334403443,3.0987693361358186,0.23563410686418118
2019-09-05,East_Antarctica,3.275018555,3.1015014882111873,0.17351706678881262
2019-09-06,East_Antarctica,3.254364257,3.1040038406379207,0.15036041636207953
2019-09-07,East_Antarctica,3.233930054,3.1063103048231655,0.1276197491768345
2019-09-08,East_Antarctica,3.23202344,3.1084547921740744,0.12356864782592547
2019-09-09,East_Antarctica,3.265906833,3.1104712140977884,0.15543561890221147
2019-09-10,East_Antarctica,3.263779688,3.1123934301935248,0.1513862578064753
2019-09-11,East_Antarctica,3.245917281,3.11425038184782,0.13166689915217988
2019-09-12,East_Antarctica,3.266827111,3.1160621104099104,0.15076500059008957
2019-09-13,East_Antarctica,3.280974637,3.1178477201326906,0.1631269168673093
2019-09-14,East_Antarctica,3.272011918,3.119626315269054,0.1523856027309458
2019-09-15,East_Antarctica,3.318846639,3.1214170000719004,0.19742963892809984
2019-09-16,East_Antarctica,3.381982629,3.1232388787941217,0.25874375020587825
2019-09-17,East_Antarctica,3.383574909,3.125111055688615,0.258463853311385
2019-09-18,East_Antarctica,3.370888118,3.1270526350082757,0.2438354829917242
2019-09-19,East_Antarctica,3.362800308,3.129082721005999,0.23371758699400136
2019-09-20,East_Antarctica,3.326013062,3.131220417934679,0.1947926440653207
2019-09-21,East_Antarctica,3.304041083,3.1334848300472147,0.17055625295278531
2019-09-22,East_Antarctica,3.293268103,3.1358950615964996,0.1573730414035004
