year,subseason,ice_persist,sector
2010,mid,2.142857142857143,East_Antarctica
2011,early,30,East_Antarctica
2011,late,14,East_Antarctica
2011,mid,22,East_Antarctica
2012,early,1.8571428571428572,East_Antarctica
2012,late,8.285714285714286,East_Antarctica
2012,mid,4,East_Antarctica
2013,early,NA,East_Antarctica
2013,late,4.142857142857143,East_Antarctica
2013,mid,NA,East_Antarctica
2014,early,NA,East_Antarctica
2014,late,NA,East_Antarctica
2014,mid,NA,East_Antarctica
2015,early,NA,East_Antarctica
2015,late,21,East_Antarctica
2015,mid,4.142857142857143,East_Antarctica
2016,early,NA,East_Antarctica
2016,late,6,East_Antarctica
2016,mid,3,East_Antarctica
2017,early,3.4,East_Antarctica
2017,late,NA,East_Antarctica
2017,mid,8.529411764705882,East_Antarctica
2018,early,NA,East_Antarctica
2018,late,NA,East_Antarctica
2018,mid,NA,East_Antarctica
2019,early,8.222222222222221,East_Antarctica
2019,late,3,East_Antarctica
2019,mid,3.4,East_Antarctica
2020,early,NA,East_Antarctica
2020,late,1.8,East_Antarctica
2020,mid,NA,East_Antarctica
2021,early,3,East_Antarctica
2021,late,NA,East_Antarctica
2021,mid,12,East_Antarctica
2022,early,NA,East_Antarctica
2022,late,NA,East_Antarctica
2022,mid,1,East_Antarctica
2023,early,9.941176470588236,East_Antarctica
2023,late,NA,East_Antarctica
2023,mid,NA,East_Antarctica
2024,early,NA,East_Antarctica
2024,late,NA,East_Antarctica
2024,mid,NA,East_Antarctica
1979,early,14,King_Haakon
1979,late,3.4,King_Haakon
1979,mid,15,King_Haakon
1980,early,15,King_Haakon
1980,late,12,King_Haakon
1980,mid,16,King_Haakon
1981,early,8,King_Haakon
1981,late,1.8,King_Haakon
1981,mid,1,King_Haakon
1982,early,14,King_Haakon
1982,late,4.25,King_Haakon
1982,mid,1,King_Haakon
1983,early,2.25,King_Haakon
1983,late,NA,King_Haakon
1983,mid,1,King_Haakon
1984,early,NA,King_Haakon
1984,late,NA,King_Haakon
1984,mid,NA,King_Haakon
1985,early,NA,King_Haakon
1985,late,4,King_Haakon
1985,mid,7.7272727272727275,King_Haakon
1986,early,14,King_Haakon
1986,late,6,King_Haakon
1986,mid,1.6666666666666667,King_Haakon
1987,early,NA,King_Haakon
1987,late,1,King_Haakon
1987,mid,NA,King_Haakon
1988,early,15,King_Haakon
1988,late,14,King_Haakon
1988,mid,1,King_Haakon
1989,early,4.25,King_Haakon
1989,late,3,King_Haakon
1989,mid,13,King_Haakon
1990,early,NA,King_Haakon
1990,late,NA,King_Haakon
1990,mid,NA,King_Haakon
1991,early,6.538461538461538,King_Haakon
1991,late,NA,King_Haakon
1991,mid,NA,King_Haakon
1992,early,26.071428571428573,King_Haakon
1992,late,3,King_Haakon
1992,mid,7.222222222222222,King_Haakon
1993,early,NA,King_Haakon
1993,late,NA,King_Haakon
1993,mid,NA,King_Haakon
1994,early,NA,King_Haakon
1994,late,1,King_Haakon
1994,mid,NA,King_Haakon
1995,early,NA,King_Haakon
1995,late,3,King_Haakon
1995,mid,21,King_Haakon
1996,early,NA,King_Haakon
1996,late,NA,King_Haakon
1996,mid,1,King_Haakon
1997,early,6.166666666666667,King_Haakon
1997,late,NA,King_Haakon
1997,mid,1,King_Haakon
1998,early,23,King_Haakon
1998,late,NA,King_Haakon
1998,mid,4,King_Haakon
1999,early,NA,King_Haakon
1999,late,2.5,King_Haakon
1999,mid,1,King_Haakon
2000,early,NA,King_Haakon
2000,late,NA,King_Haakon
2000,mid,1,King_Haakon
2001,early,NA,King_Haakon
2001,late,8,King_Haakon
2001,mid,NA,King_Haakon
2002,early,22,King_Haakon
2002,late,1,King_Haakon
2002,mid,NA,King_Haakon
2003,early,NA,King_Haakon
2003,late,6.8,King_Haakon
2003,mid,9.133333333333333,King_Haakon
2004,early,9.941176470588236,King_Haakon
2004,late,NA,King_Haakon
2004,mid,NA,King_Haakon
2005,early,NA,King_Haakon
2005,late,12.083333333333334,King_Haakon
2005,mid,4,King_Haakon
2006,early,7,King_Haakon
2006,late,4,King_Haakon
2006,mid,13.133333333333333,King_Haakon
2007,early,24,King_Haakon
2007,late,16,King_Haakon
2007,mid,29,King_Haakon
2008,early,16,King_Haakon
2008,late,NA,King_Haakon
2008,mid,NA,King_Haakon
2009,early,30,King_Haakon
2009,late,NA,King_Haakon
2009,mid,19,King_Haakon
2010,early,1,King_Haakon
2010,late,8,King_Haakon
2010,mid,NA,King_Haakon
2011,early,20.185185185185187,King_Haakon
2011,late,16,King_Haakon
2011,mid,7,King_Haakon
