year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
2009,2.5714285714285716,9.466666666666667,Amundsen_Bellingshausen,244,2.7335151061313665,-2.108695652173907,-0.054822343178388966
2010,2.391304347826087,2,Amundsen_Bellingshausen,244,2.523187425110624,-2.108695652173907,-0.26515002419913136
2011,3.6363636363636362,54.035714285714285,Amundsen_Bellingshausen,244,3.0522908875742667,-2.108695652173907,0.26395343826451123
2012,2.619047619047619,NA,Amundsen_Bellingshausen,245,2.3097267026457287,-1.1086956521739069,-0.4786107466640268
2013,2.8823529411764706,53.03636363636364,Amundsen_Bellingshausen,244,2.6079659438228635,-2.108695652173907,-0.18037150548689196
2014,2.142857142857143,16.93548387096774,Amundsen_Bellingshausen,244,2.4978034550876025,-2.108695652173907,-0.290533994222153
2015,4.209302325581396,7.222222222222222,Amundsen_Bellingshausen,244,2.298477735139625,-2.108695652173907,-0.48985971417013063
2016,3,2,Amundsen_Bellingshausen,245,2.998892040696894,-1.1086956521739069,0.2105545913871385
2017,3,18.15,Amundsen_Bellingshausen,244,2.527246257531133,-2.108695652173907,-0.2610911917786223
2018,3.2,7.533333333333333,Amundsen_Bellingshausen,244,2.636642608451312,-2.108695652173907,-0.15169484085844331
2019,3.4166666666666665,2,Amundsen_Bellingshausen,244,3.0061115124352584,-2.108695652173907,0.21777406312550296
2020,3.7,7.888888888888889,Amundsen_Bellingshausen,245,3.052037208461059,-1.1086956521739069,0.2636997591513035
2021,3.0833333333333335,NA,Amundsen_Bellingshausen,244,2.7481540697481686,-2.108695652173907,-0.04018337956158691
2022,1.9473684210526316,NA,Amundsen_Bellingshausen,244,2.4033894636680406,-2.108695652173907,-0.38494798564171484
2023,2.1578947368421053,18.05263157894737,Amundsen_Bellingshausen,244,2.709710938315591,-2.108695652173907,-0.07862651099416462
2024,2.25,NA,Amundsen_Bellingshausen,NA,NA,NA,NA
1979,2.272727272727273,3.125,East_Antarctica,274,2.1313904940822743,-2.347826086956502,-0.4664589482523209
1980,1.6666666666666667,7.133333333333334,East_Antarctica,275,2.717843952619718,-1.347826086956502,0.11999451028512276
