year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
2013,3.125,NA,circumpolar,265,15.729125883581212,-1.6086956521739353,0.1801642092064366
2014,2.68,3.5714285714285716,circumpolar,265,16.464924560951907,-1.6086956521739353,0.9159628865771321
2015,4,40.21568627450981,circumpolar,265,15.0262424499,-1.6086956521739353,-0.5227192244747751
2016,2.25,15.74074074074074,circumpolar,266,15.68453218987556,-0.6086956521739353,0.1355705155007847
2017,3,NA,circumpolar,265,15.876841514240938,-1.6086956521739353,0.32787983986616354
2018,2.4615384615384617,2.75,circumpolar,265,15.791667274964631,-1.6086956521739353,0.24270560058985602
2019,5.214285714285714,33,circumpolar,265,15.722793782342542,-1.6086956521739353,0.17383210796776716
2020,3.32,11.521739130434783,circumpolar,266,15.99198977141633,-0.6086956521739353,0.4430280970415552
2021,2.3684210526315788,11.88,circumpolar,265,15.839591044632195,-1.6086956521739353,0.2906293702574203
2022,2.5,8.44,circumpolar,265,15.967822321620876,-1.6086956521739353,0.4188606472461007
2023,3.272727272727273,81,circumpolar,265,15.137443325069949,-1.6086956521739353,-0.411518349304826
2024,2.217391304347826,NA,circumpolar,NA,NA,NA,NA
