time,Sea Ice Extent (million km²)
2013-07-23,31118719.04
2013-07-24,31088647.79
2013-07-25,31098492.19
2013-07-26,31223619.96
2013-07-27,31337096.87
2013-07-28,31442800.77
2013-07-29,31436807.77
2013-07-30,31411340.13
2013-07-31,31483432.28
2013-08-01,31603884.3
2013-08-02,31673575.71
2013-08-03,31770578.39
2013-08-04,31878047.3
2013-08-05,32034874.81
2013-08-06,32165651.23
2013-08-07,32253087.71
2013-08-08,32260144.72
2013-08-09,32304367.85
2013-08-10,32417394.72
2013-08-11,32316886.58
2013-08-12,32304568.45
2013-08-13,32276319.09
2013-08-14,32304328.66
2013-08-15,32549674.8
2013-08-16,32687323.01
2013-08-17,32767153.4
2013-08-18,32801529.54
2013-08-19,32884287.38
2013-08-20,32942147.41
2013-08-21,33060147.09
2013-08-22,33120007.53
2013-08-23,33073677.88
2013-08-24,33063530.27
2013-08-25,33081310.14
2013-08-26,33177700.34
2013-08-27,33182557.23
2013-08-28,33219223.08
2013-08-29,33266798.94
2013-08-30,33285221.13
2013-08-31,33338742.88
2013-09-01,33372617.11
2013-09-02,33359038.23
2013-09-03,33413128.79
2013-09-04,33405551.64
2013-09-05,33392433.25
2013-09-06,33337786.14
2013-09-07,33312332.51
2013-09-08,33417455.52
2013-09-09,33569593.88
2013-09-10,33553258.96
2013-09-11,33536680.4
2013-09-12,33510491.26
2013-09-13,33422105.62
2013-09-14,33455002.19
2013-09-15,33504058.85
2013-09-16,33516758.46
2013-09-17,33602728.44
2013-09-18,33643384.76
2013-09-19,33687316.45
2013-09-20,33790956.79
2013-09-21,33880710.67
2013-09-22,33832266.13
2013-09-23,33804787.08
2013-09-24,33850777.93
2013-09-25,33835005.92
2013-09-26,33824839.27
2013-09-27,33909931.21
2013-09-28,33896427.3
2013-09-29,33841947.65
2013-09-30,33804546.35
2013-10-01,33771119.59
2013-10-02,33769776.4
2013-10-03,33782987.94
2013-10-04,33822781.4
2013-10-05,33819216.74
2013-10-06,33790202.96
2013-10-07,33834118.95
2013-10-08,33817144.3
2013-10-09,33764807.42
2013-10-10,33747221.71
2013-10-11,33678582.77
2013-10-12,33618144.49
2013-10-13,33646783.64
2013-10-14,33641040.43
2013-10-15,33676369.75
2013-10-16,33709223.75
2013-10-17,33719229.15
2013-10-18,33701386.3
2013-10-19,33642816.86
2013-10-20,33606726.58
2013-10-21,33579593.16
2013-10-22,33556128.71
2013-10-23,33528259.41
2013-10-24,33484064.81
2013-10-25,33489939.21
2013-10-26,33339713.51
2013-10-27,33199187.94
2013-10-28,33098278.53
2013-10-29,32955471.8
2013-10-30,32873161.69
2013-10-31,32815604.62
2013-11-01,32799231.22
2013-11-02,32743759.98
2013-11-03,32717071.94
2013-11-04,32685386.66
2013-11-05,32632247.06
2013-11-06,32634784.91
2013-11-07,32614643.05
2013-11-08,32528141.03
2013-11-09,32481987.89
2013-11-10,32364589.8
2013-11-11,32343493.3
2013-11-12,32250197.03
2013-11-13,32172240.39
2013-11-14,32112893.47
2013-11-15,32056183.93
2013-11-16,32018772.46
2013-11-17,31913740.19
2013-11-18,31778451.72
2013-11-19,31609313.68
2013-11-20,31491755.56
2013-11-21,31405866.86
2013-11-22,31320929.9
2013-11-23,31223591.79
2013-11-24,31087503.17
2013-11-25,30992118.59
2013-11-26,30915902.4
2013-11-27,30828252.95
2013-11-28,30653474.29
2013-11-29,30508548.09
2013-11-30,30350174.61
2013-12-01,30164831.87
2013-12-02,30116474.74
2013-12-03,30076756.6
2013-12-04,29908901.59
2013-12-05,29743664.82
2013-12-06,29616431.14
2013-12-07,29427807.5
2013-12-08,29169377.66
2013-12-09,28963306.48
2013-12-10,28766910.34
2013-12-11,28626997.95
2013-12-12,28467892.34
2013-12-13,28270987.24
2013-12-14,28047262.52
2013-12-15,27906791.66
2013-12-16,27584420.78
2013-12-17,27354005.68
2013-12-18,27063133.28
2013-12-19,26917471.62
2013-12-20,26765497.08
2013-12-21,26658081.79
2013-12-22,26510459.97
2013-12-23,26426840.17
2013-12-24,26314562.28
2013-12-25,26077291.03
2013-12-26,25859964.66
2013-12-27,25635333.84
2013-12-28,25410021.26
2013-12-29,25208205.93
2013-12-30,24858718.9
2013-12-31,24622426.38
2014-01-01,24357875.53
2014-01-02,24167701.69
2014-01-03,23921099.18
2014-01-04,23787352.49
2014-01-05,23568182.79
2014-01-06,23305385.05
2014-01-07,23134364.73
2014-01-08,22934799.43
2014-01-09,22820487.07
2014-01-10,22646185.57
2014-01-11,22574900.95
2014-01-12,22320163.32
2014-01-13,22108487.07
2014-01-14,21873879.8
2014-01-15,21702785.88
2014-01-16,21564689.29
2014-01-17,21497252.41
2014-01-18,21356314.1
2014-01-19,21207898.26
2014-01-20,21080725.24
2014-01-21,20937138.07
2014-01-22,20795887.51
2014-01-23,20618144.35
2014-01-24,20442826.8
2014-01-25,20292845.04
2014-01-26,20135305.08
2014-01-27,20029648.71
2014-01-28,19956617.97
2014-01-29,19842078.92
2014-01-30,19814957.84
2014-01-31,19673850.96
2014-02-01,19604105.63
2014-02-02,19549351.59
2014-02-03,19369383.79
2014-02-04,19266724.49
2014-02-05,19190210.83
2014-02-06,19161609.65
2014-02-07,19092414.1
2014-02-08,19047939.67
2014-02-09,18975904.95
2014-02-10,18937113.7
2014-02-11,18868580.87
2014-02-12,18796575.3
2014-02-13,18816030.43
2014-02-14,18661587.8
2014-02-15,18569461.33
2014-02-16,18488939.67
2014-02-17,18434831.88
2014-02-18,18316631.31
2014-02-19,18251075.31
2014-02-20,18210641.18
2014-02-21,18114111.79
2014-02-22,18081239.51
2014-02-23,18120041.08
2014-02-24,18135024.84
2014-02-25,18125037.84
2014-02-26,18112561.51
2014-02-27,18058790.87
2014-02-28,18109498.76
2014-03-01,18132669.99
2014-03-02,18109706.42
2014-03-03,18114219.58
2014-03-04,18572783.53
2014-03-05,18221630.75
2014-03-06,18257077.2
2014-03-07,18288764.31
2014-03-08,18308112.19
2014-03-09,18428202.96
2014-03-10,18391325.05
2014-03-11,18423778.17
2014-03-12,18519852.02
2014-03-13,18644763.52
2014-03-14,18633481.87
2014-03-15,18744968.11
2014-03-16,18839749.26
2014-03-17,18851862.94
2014-03-18,18865837.76
2014-03-19,18975509.91
2014-03-20,19025467.77
2014-03-21,19113800.82
2014-03-22,19093630.34
2014-03-23,19124557.71
2014-03-24,19212605.1
2014-03-25,19275472.1
2014-03-26,19379493.36
2014-03-27,19519592.53
2014-03-28,19598095.09
2014-03-29,19695485.9
2014-03-30,19840432.41
2014-03-31,19892402.22
2014-04-01,20008608.37
2014-04-02,20231606.35
2014-04-03,20343745.06
2014-04-04,20461064.96
2014-04-05,20517746.79
2014-04-06,20615740.82
2014-04-07,20757852.09
2014-04-08,20916041.29
2014-04-09,20969522.49
2014-04-10,21097725.54
2014-04-11,21243112.66
2014-04-12,21380046.31
2014-04-13,21467474.36
2014-04-14,21585193.11
2014-04-15,21769312.71
2014-04-16,21886195.76
2014-04-17,21976134.7
2014-04-18,22150277.02
2014-04-19,22268312.07
2014-04-20,22367784.46
2014-04-21,22474475.77
2014-04-22,22560641.59
2014-04-23,22789491.18
2014-04-24,22932027.97
2014-04-25,23056494.7
2014-04-26,23106477.78
2014-04-27,23178975.13
2014-04-28,23265312.88
2014-04-29,23271613.58
2014-04-30,23324964.54
2014-05-01,23422863.12
2014-05-02,23548624.51
2014-05-03,23696475.05
2014-05-04,23796417.89
2014-05-05,23873883.69
2014-05-06,23932632.63
2014-05-07,24072091.32
2014-05-08,24260264.86
2014-05-09,24383083.47
2014-05-10,24606912.89
2014-05-11,24742658.98
2014-05-12,24851540.9
2014-05-13,24931502.03
2014-05-14,24992923.83
2014-05-15,25064095.02
2014-05-16,25180150.72
2014-05-17,25229445.12
2014-05-18,25268484.1
2014-05-19,25444752.9
2014-05-20,25467150.29
2014-05-21,25563418.19
2014-05-22,25679903.34
2014-05-23,25736123.87
2014-05-24,25879255.11
2014-05-25,26039536.71
2014-05-26,26210376.72
2014-05-27,26322458.09
2014-05-28,26417920.55
2014-05-29,26490062.01
2014-05-30,26644402.19
2014-05-31,26746129.19
2014-06-01,26719089.02
2014-06-02,26741140.5
2014-06-03,26808025.5
2014-06-04,26900470.18
2014-06-05,26994854.97
2014-06-06,27065883.43
2014-06-07,27304340.15
2014-06-08,27436612.87
2014-06-09,27542701.13
2014-06-10,27710688.34
2014-06-11,27789289.84
2014-06-12,27815097.04
2014-06-13,27950081.97
2014-06-14,28076583.18
2014-06-15,28166864.4
2014-06-16,28210766.12
2014-06-17,28332604.04
2014-06-18,28411626.84
2014-06-19,28483633.13
2014-06-20,28592479.81
2014-06-21,28721038.79
2014-06-22,28853559.88
2014-06-23,29024603.71
2014-06-24,29140829.07
2014-06-25,29289391.36
2014-06-26,29375811.05
2014-06-27,29537757.27
2014-06-28,29732820.77
2014-06-29,29761996.37
2014-06-30,29820672.9
2014-07-01,29895538.79
2014-07-02,30075897.84
2014-07-03,30126270.96
2014-07-04,30225620.63
2014-07-05,30313071.78
2014-07-06,30410689.84
2014-07-07,30550819.49
2014-07-08,30693347.83
2014-07-09,30738135.88
2014-07-10,30782762.66
2014-07-11,30869885.25
2014-07-12,30894249.81
2014-07-13,30834439.4
2014-07-14,30924596.94
2014-07-15,30845788.77
2014-07-16,30775990.41
2014-07-17,30759887.54
2014-07-18,30824138.69
2014-07-19,30966571.22
2014-07-20,31006270.21
2014-07-21,30975795.5
2014-07-22,31007377.54
2014-07-23,31097202.74
2014-07-24,31166183.89
2014-07-25,31397304.43
2014-07-26,31497348.64
2014-07-27,31659668.18
2014-07-28,31758952.1
2014-07-29,31896936.72
2014-07-30,31958609.3
2014-07-31,32086417.71
2014-08-01,32175387.81
2014-08-02,32230516.42
2014-08-03,32207302.36
2014-08-04,32294760.21
2014-08-05,32318907.95
2014-08-06,32432786.83
2014-08-07,32549440.22
2014-08-08,32636072.8
2014-08-09,32677178.4
2014-08-10,32803781.17
2014-08-11,32953722.43
2014-08-12,32851364.08
2014-08-13,32871869.77
2014-08-14,33012906.34
2014-08-15,33082023.74
2014-08-16,33066135.4
2014-08-17,33049124.63
2014-08-18,33160671.45
2014-08-19,33149229.31
2014-08-20,33208245.77
2014-08-21,33342362.62
2014-08-22,33322243.76
2014-08-23,33253393.42
2014-08-24,33249881.81
2014-08-25,33216319.39
2014-08-26,33251273.66
2014-08-27,33277306.64
2014-08-28,33327286.92
2014-08-29,33459502.52
2014-08-30,33449577.53
2014-08-31,33362186.65
2014-09-01,33253603.72
2014-09-02,33304993.35
2014-09-03,33446263.01
2014-09-04,33447779.25
2014-09-05,33522133.42
2014-09-06,33531366.24
2014-09-07,33557886.61
2014-09-08,33486656.1
2014-09-09,33476277.81
2014-09-10,33539679.58
2014-09-11,33624198.1
2014-09-12,33762756.99
2014-09-13,33779186.22
2014-09-14,33741530.2
2014-09-15,33790795.77
2014-09-16,33890988.57
2014-09-17,33987887.71
2014-09-18,34042175.4
2014-09-19,34202150.51
2014-09-20,34252474.82
2014-09-21,34291869.31
2014-09-22,34304441.07
