time,SIE_circumpolar,SIE_Weddell,SIE_Amundsen_Bellingshausen,SIE_Ross,SIE_East_Antarctica,SIE_King_Haakon
2022-01-20,3.733072097603383,0.4209107683584227,1.3523710074760806,0.2883697610380737,0.6744595903367903,0.9969609703940154
2022-01-21,3.68399631164804,0.41581752176351594,1.3472464557985684,0.28406908319345764,0.6755962731099834,0.9612669777825149
2022-01-22,3.619910131679591,0.4101328736706493,1.3455711295944663,0.26922849269640986,0.6708041241570315,0.9241735115610339
2022-01-23,3.5354217040941576,0.4045287419948366,1.337715218271169,0.264320751340089,0.6508805370914567,0.8779764553966063
2022-01-24,3.4589269174581467,0.4007993930613618,1.3250127314591418,0.26247735784509385,0.6328733096922601,0.8377641254002891
2022-01-25,3.39776929605642,0.397023280401085,1.3170933688037711,0.2575394295585182,0.6153717811380517,0.8107414361549943
2022-01-26,3.346038404738408,0.3983841384956013,1.3111184243158154,0.2606468506838848,0.581455866314778,0.7944331249283284
2022-01-27,3.313747648567889,0.3946030243051908,1.292227911589217,0.26622350715394866,0.5656759054637911,0.7950173000557418
2022-01-28,3.270411907224649,0.38335099007037,1.276884000863968,0.2599673572532246,0.5802313571737358,0.7699782018633505
2022-01-29,3.1959083552361585,0.3665606135549455,1.2806095247992566,0.2368900563075782,0.5704527251565727,0.7413954354178053
2022-01-30,3.112478379812444,0.35977120479471,1.2615252436222264,0.23992252291429605,0.5697272498807728,0.681532158600439
2022-01-31,3.0577499619522004,0.3554181622597364,1.2365346236939219,0.23753643543246664,0.5666804698813479,0.6615802706847278
2022-02-01,2.9828653161361967,0.3603863985766367,1.2108469146315968,0.23504815860916656,0.5515513287854021,0.6250325155333947
2022-02-02,2.921303768127787,0.3651929168766235,1.1999176428049279,0.22931194754926001,0.5418954931103628,0.584985767786613
2022-02-03,2.8720251993563464,0.3676222911406297,1.1826994561098936,0.21374996827567536,0.5297133796294462,0.5782401042007022
2022-02-04,2.789508800292948,0.36638335501785235,1.1654709880926375,0.19893325977944717,0.5237041132182727,0.5350170841847386
2022-02-05,2.747749954305924,0.3589465464247486,1.161494590758493,0.19224354260421847,0.5146094599654311,0.5204558145530329
2022-02-06,2.7253154339689813,0.34648296547919427,1.1620813840619406,0.19410570447690992,0.5007470368040665,0.5218983431468698
2022-02-07,2.6354135501235194,0.3164520191452693,1.1457676733498747,0.16868551055674078,0.49780338578892686,0.5067049612827078
2022-02-08,2.513285502607479,0.3228414125288589,1.0869378065138575,0.14642967169693416,0.48318980104423015,0.47388681082359807
2022-02-09,2.5095361386485915,0.31975035593726364,1.099520871359226,0.13957908335952973,0.49105539457243297,0.4596304334201389
2022-02-10,2.519372058980325,0.3254566199901804,1.12855858401308,0.1308279651804507,0.5069101048418386,0.4276187849547749
2022-02-11,2.487519764958588,0.3186398459474227,1.1362992953083264,0.13404842051615234,0.5112239809712193,0.38730822221546735
2022-02-12,2.465156876160551,0.304830572348995,1.1277527322343839,0.1297801417563388,0.5013767587240987,0.4014166710967345
2022-02-13,2.4034920361726932,0.3067094084000448,1.1049294589723835,0.12237200560888238,0.4850223283377177,0.384458834853665
2022-02-14,2.3547663799765437,0.30605361713901114,1.081059971603563,0.13462199431111138,0.4668095813226939,0.3662212156001643
2022-02-15,2.3390087604593663,0.29849007625916046,1.0746609095201651,0.13461758043136388,0.4656725557861518,0.36556763846252516
2022-02-16,2.30735160043159,0.29220236928817434,1.0964428440089924,0.10977468620251238,0.47341784187485414,0.3355138590570568
2022-02-17,2.2697704434625474,0.2909522717242423,1.1063517158425284,0.10050578856218487,0.46211088744924494,0.3098497798843466
2022-02-18,2.2497201426112454,0.28899814614660224,1.1028425670820567,0.09190386205621869,0.46883615659776673,0.29713941072860095
2022-02-19,2.2266572485562497,0.2864473512348694,1.0994009944253702,0.10068213349252884,0.45716912663113396,0.2829576427723477
2022-02-20,2.2137544687649378,0.2776469276853118,1.1083115444083473,0.11505768039851337,0.4547096250699337,0.25802869120283134
2022-02-21,2.2832116551324226,0.2770009583438877,1.1611589975937602,0.12313081610955942,0.4701163814076895,0.25180450167752577
2022-02-22,2.251723988250382,0.2813935735414557,1.1641739114139829,0.10447349915309531,0.46039615051573185,0.24128685362611602
2022-02-23,2.1979914908823606,0.28206053816788823,1.1451414333261198,0.10577011488833138,0.44315962605307296,0.2218597784469481
2022-02-24,2.2496462821030474,0.28581242215228575,1.1476191022685,0.14110958073070656,0.4423599449199787,0.23274523203157613
2022-02-25,2.278889366719061,0.2870693428662679,1.1490506571865091,0.150403634470481,0.46639470446420417,0.22597102773159872
2022-02-26,2.2915843355570056,0.28833585531288475,1.1522116337945498,0.14601000665279473,0.48474231940937335,0.2202845203874029
